0,LATITUDE,LONGITUDE
1117 EMMET ST N,38.0544087,-78.499656
1035-67 MILLMONT ST,38.0510044,-78.5052501
1159 MILLMONT ST,38.05431799999999,-78.50100979999999
1135-37 MILLMONT ST,38.0535516,-78.5021174
1111 MILLMONT ST,38.0527285,-78.50329579999999
1149 MILLMONT ST,38.0539351,-78.50167569999999
600 MASSIE RD,38.0540791,-78.5077239
1101 MILLMONT ST,38.0517154,-78.5041449
1023 MILLMONT ST,38.0508335,-78.5058033
1138 EMMET ST N,38.0518106,-78.4996065
1170 EMMET ST N,38.0522269,-78.499006
1134 EMMET ST N,38.0515059,-78.50001189999999
1136-A EMMET ST N,38.0516254,-78.49976699999999
1136-B EMMET ST N,38.0516163,-78.49977799999999
0 BARRACKS RD,38.05507679999999,-78.50040120000001
2028 BARRACKS RD,38.05076529999999,-78.4980801
1930 BARRACKS RD,38.0503952,-78.4976362
1920 BARRACKS RD,38.0497306,-78.4971035
1851 WESTVIEW RD,38.0485084,-78.49866829999999
1855 WESTVIEW RD,38.0490375,-78.4983465
1857 WESTVIEW RD,38.0491077,-78.4990567
1885 WESTVIEW RD,38.0493467,-78.4994118
1889 WESTVIEW RD,38.0496454,-78.499545
1891 WESTVIEW RD,38.0498757,-78.49981129999999
1893 WESTVIEW RD,38.0500928,-78.4999445
1895 WESTVIEW RD,38.0504732,-78.4993333
1001 EMMET ST N,38.0498114,-78.50139779999999
1890 WESTVIEW RD,38.050086,-78.50027999999999
1888 WESTVIEW RD,38.049628,-78.500349
1884 WESTVIEW RD,38.0493127,-78.5000998
1882 WESTVIEW RD,38.0491458,-78.4998557
1880 WESTVIEW RD,38.0489287,-78.49972249999999
1878 WESTVIEW RD,38.0487072,-78.499545
1876 WESTVIEW RD,38.04849,-78.4994118
1852 WESTVIEW RD,38.048265,-78.499163
1863 FIELD RD,38.0480588,-78.49958939999999
1865 FIELD RD,38.0482395,-78.4997669
1867 FIELD RD,38.048461,-78.4999445
1869 FIELD RD,38.0487321,-78.50021079999999
1871 FIELD RD,38.0489128,-78.50038839999999
1873 FIELD RD,38.04914309999999,-78.5006547
1877 FIELD RD,38.0493828,-78.5008101
1884 FIELD RD,38.0492132,-78.5013649
1882 FIELD RD,38.0490777,-78.5012318
1874 FIELD RD,38.0488562,-78.5010542
1872 FIELD RD,38.0486347,-78.50087669999999
1870 FIELD RD,38.0483724,-78.50069909999999
1868 FIELD RD,38.0481509,-78.50052149999999
1866 FIELD RD,38.0479206,-78.5002552
1864 FIELD RD,38.0476991,-78.50007769999999
906 FENDALL TER,38.04779990000001,-78.50109859999999
1859 WINSTON RD,38.04721560000001,-78.50096540000001
1861 WINSTON RD,38.047481,-78.500629
1863 WINSTON RD,38.04736870000001,-78.50127619999999
1867 WINSTON RD,38.0475174,-78.5015425
901 FENDALL TER,38.0477739,-78.5020751
905 FENDALL TER,38.0481644,-78.50189759999999
918 EMMET ST N,38.0490732,-78.5023069
902 EMMET ST N,38.048305,-78.5024719
914 EMMET ST N,38.0488524,-78.5025485
900 EMMET ST N,38.048578,-78.5029799
0 EMMET ST N,38.0535515,-78.5007388
1910 BARRACKS RD,38.0489946,-78.49626010000001
120 BUCKINGHAM RD,38.0487374,-78.4959272
128 BUCKINGHAM RD,38.0484946,-78.49532789999999
108 BUCKINGHAM RD,38.0479242,-78.4951281
110 BUCKINGHAM RD,38.0479818,-78.4955055
114 BUCKINGHAM RD,38.0480941,-78.4958162
118 BUCKINGHAM RD,38.048374,-78.4961713
104 BUCKINGHAM RD,38.0483064,-78.49466199999999
1820 BARRACKS RD,38.0482393,-78.4943957
1812 BARRACKS RD,38.0481358,-78.49417369999999
116 HOWARD DR,38.0479669,-78.4945288
114 HOWARD DR,38.0477171,-78.4946842
112 HOWARD DR,38.0475007,-78.49435129999999
110 HOWARD DR,38.0476375,-78.49408489999999
1808 BARRACKS RD,38.0479419,-78.493863
1806 BARRACKS RD,38.0477656,-78.4937298
1800 BARRACKS RD,38.0476301,-78.49359659999999
1107 RUGBY RD,38.0473721,-78.4934634
1109 RUGBY RD,38.0475471,-78.49336319999999
1105 RUGBY RD,38.0471405,-78.49359659999999
1101 RUGBY RD,38.0468047,-78.4937076
947 ROSSER LN,38.0473682,-78.49466199999999
945 ROSSER LN,38.0471322,-78.49475079999999
941 ROSSER LN,38.047351,-78.49572739999999
939 ROSSER LN,38.0467812,-78.49532789999999
1801 WESTVIEW RD,38.0465257,-78.4958384
1829 WESTVIEW RD,38.0466599,-78.49637109999999
921 ROSSER LN,38.0463092,-78.4955055
1833 WESTVIEW RD,38.0469988,-78.496704
1839 WESTVIEW RD,38.0476626,-78.49743649999999
0 WESTVIEW RD,38.0476538,-78.4982756
1861 WESTVIEW RD,38.0480679,-78.49823549999999
1848 WESTVIEW RD,38.0479661,-78.49885689999999
1844 WESTVIEW RD,38.047695,-78.4985906
1834 WESTVIEW RD,38.0473693,-78.4983908
1859 FIELD RD,38.0474395,-78.49910109999999
1861 FIELD RD,38.0477018,-78.4992786
1862 FIELD RD,38.047451,-78.49987399999999
1857 WINSTON RD,38.0470757,-78.50078789999999
1855 WINSTON RD,38.0469314,-78.5005659
1851 WINSTON RD,38.0467106,-78.5001886
1860 FIELD RD,38.0472925,-78.4996781
1858 FIELD RD,38.0470258,-78.4994562
1849 WINSTON RD,38.0466399,-78.499945
1847 WINSTON RD,38.0465261,-78.4997669
1843 WINSTON RD,38.0463775,-78.49950059999999
1856 FIELD RD,38.0469091,-78.49910109999999
1854 FIELD RD,38.0468056,-78.4988791
919 OLD FARM RD,38.0468667,-78.49825770000001
913 OLD FARM RD,38.046707,-78.498498
911 OLD FARM RD,38.04649819999999,-78.4986572
907 OLD FARM RD,38.0462709,-78.4988347
1839 WINSTON RD,38.0461071,-78.4990345
1825 WINSTON RD,38.0457281,-78.4985018
910 OLD FARM RD,38.046101,-78.49814669999999
906 OLD FARM RD,38.0458963,-78.4983465
912 OLD FARM RD,38.04630119999999,-78.4979026
916 OLD FARM RD,38.0464739,-78.4977916
1832 WESTVIEW RD,38.04671930000001,-78.4975918
1823 WINSTON RD,38.045548,-78.4981245
1821 WINSTON RD,38.0454489,-78.4979469
905 COTTAGE LN,38.0456762,-78.4977694
907 COTTAGE LN,38.0458626,-78.4975918
909 COTTAGE LN,38.0460126,-78.4974587
911 COTTAGE LN,38.046253,-78.4974143
915 COTTAGE LN,38.0464802,-78.4972367
908 COTTAGE LN,38.045724,-78.4970148
904 COTTAGE LN,38.0454691,-78.4973255
1828 WESTVIEW RD,38.0462732,-78.4967928
910 COTTAGE LN,38.046046,-78.4969704
1815 WINSTON RD,38.0452419,-78.497503
901 ROSSER LN,38.0450116,-78.4972367
905 ROSSER LN,38.0452301,-78.4969704
907 ROSSER LN,38.0454034,-78.4966596
909 ROSSER LN,38.045581,-78.4963933
1820 WESTVIEW RD,38.045825,-78.4960569
1822 WESTVIEW RD,38.04591680000001,-78.49628229999999
1824 WESTVIEW RD,38.046114,-78.49651
900 ROSSER LN,38.0447506,-78.4966596
902 ROSSER LN,38.0448423,-78.49634890000002
908 ROSSER LN,38.0451555,-78.4962157
912 ROSSER LN,38.0452968,-78.4959938
918 ROSSER LN,38.0454745,-78.49572739999999
920 ROSSER LN,38.0456929,-78.4954611
924 ROSSER LN,38.04589319999999,-78.4952169
928 ROSSER LN,38.0460978,-78.49501719999999
932 ROSSER LN,38.0463207,-78.4947952
938 ROSSER LN,38.0465027,-78.49457319999999
942 ROSSER LN,38.0466942,-78.4942403
1007 RUGBY RD,38.046152,-78.4937076
0 RUGBY RD,38.0450218,-78.494698
933 RUGBY RD,38.0455964,-78.4944845
929 RUGBY RD,38.0454501,-78.4948618
921 RUGBY RD,38.0451494,-78.49532789999999
919 RUGBY RD,38.045011,-78.49551699999999
917 RUGBY RD,38.0449485,-78.4957718
915 RUGBY RD,38.044848,-78.4959938
905 RUGBY RD,38.0446296,-78.49626010000001
901 RUGBY RD,38.0444883,-78.4964821
1106 RUGBY RD,38.04695299999999,-78.49273099999999
1102 RUGBY RD,38.0466354,-78.49281979999999
1717 RUGBY AVE,38.0466914,-78.4923536
1711 RUGBY AVE,38.0466067,-78.4919097
1715 RUGBY AVE,38.0468238,-78.4920429
1701 RUGBY AVE,38.0464869,-78.4911106
1705 RUGBY AVE,38.046608,-78.4915709
1106 STONEFIELD LN,38.0466427,-78.4906223
1643 RUGBY AVE,38.0464023,-78.49066669999999
1641 RUGBY AVE,38.046376,-78.49040029999999
1637 RUGBY AVE,38.0463584,-78.4902228
1627 RUGBY AVE,38.0463058,-78.48969
1625 RUGBY AVE,38.046304,-78.489424
1623 RUGBY AVE,38.0462079,-78.4891129
1621 RUGBY AVE,38.0462224,-78.4888466
1105 HERNDON RD,38.0463184,-78.4885802
1549 RUGBY AVE,38.0461478,-78.4880919
1545 RUGBY AVE,38.0460807,-78.4878255
1600 RUGBY AVE,38.0455679,-78.4880031
1606 RUGBY AVE,38.0455986,-78.48831380000001
1610 RUGBY AVE,38.0456293,-78.4886246
1620 RUGBY AVE,38.0456644,-78.4889797
1618 RUGBY AVE,38.0457403,-78.4893349
1626 RUGBY AVE,38.0457302,-78.4896456
1621 WESTWOOD RD,38.0452677,-78.4897122
1619 WESTWOOD RD,38.0452188,-78.4894237
1617 WESTWOOD RD,38.0451837,-78.48906850000002
1615 WESTWOOD RD,38.0451486,-78.4887134
1611 WESTWOOD RD,38.04507270000001,-78.4883582
1610 WESTWOOD RD,38.04455110000001,-78.488447
1614 WESTWOOD RD,38.0445862,-78.4888022
1618 WESTWOOD RD,38.0446439,-78.48917949999999
1622 WESTWOOD RD,38.0446652,-78.48960129999999
1629 HARDWOOD AVE,38.0442164,-78.48960129999999
1625 HARDWOOD AVE,38.0441449,-78.4892905
1619 HARDWOOD AVE,38.0441054,-78.488891
1620 HARDWOOD AVE,38.0436246,-78.4889797
1624 HARDWOOD AVE,38.0436597,-78.4893349
1630 HARDWOOD AVE,38.04374,-78.4897344
1143 KENSINGTON AVE,38.0438115,-78.4900452
1147 KENSINGTON AVE,38.04423269999999,-78.49017839999999
1151 KENSINGTON AVE,38.0445182,-78.49017839999999
1155 KENSINGTON AVE,38.0448126,-78.4902672
1159 KENSINGTON AVE,38.0450686,-78.4902783
1163 KENSINGTON AVE,38.0453429,-78.4902672
1698 RUGBY AVE,38.0458456,-78.49040029999999
1165 KENSINGTON AVE,38.0456197,-78.49017839999999
1700 RUGBY AVE,38.0458619,-78.4909775
1702 RUGBY AVE,38.045929,-78.49124379999999
1706 RUGBY AVE,38.0459553,-78.4915102
1708 RUGBY AVE,38.045986,-78.4918209
1710 RUGBY AVE,38.0460443,-78.4919985
1718 RUGBY AVE,38.0460386,-78.4923536
1006 RUGBY RD,38.0461189,-78.4927532
1004 RUGBY RD,38.0457926,-78.4927532
1224 PRESTON AVE,38.045607,-78.492909
1222 PRESTON AVE,38.0453877,-78.4926172
1220 PRESTON AVE,38.0452511,-78.49290599999999
1218 PRESTON AVE,38.0450638,-78.4928894
0 PRESTON AVE,38.03779,-78.48929249999999
1212 PRESTON AVE,38.044798,-78.492875
1214 PRESTON AVE,38.0449434,-78.4925384
0 ROBINSON WOODS,38.0441917,-78.4917013
1609 CABELL AVE,38.0439405,-78.4921761
117 ROBINSON WOODS,38.0449516,-78.4920873
119 ROBINSON WOODS,38.0450069,-78.4918209
121 ROBINSON WOODS,38.0449624,-78.49157679999999
123 ROBINSON WOODS,38.0448858,-78.4914214
125 ROBINSON WOODS,38.0447553,-78.4911328
112 ROBINSON WOODS,38.044491,-78.4915546
110 ROBINSON WOODS,38.0443643,-78.4915102
108 ROBINSON WOODS,38.0442419,-78.4915102
106 ROBINSON WOODS,38.0441151,-78.4914658
104 ROBINSON WOODS,38.0439927,-78.4914658
101 ROBINSON WOODS,38.0438734,-78.4919097
102 ROBINSON WOODS,38.0438703,-78.4914658
100 ROBINSON WOODS,38.0437436,-78.4914214
103 ROBINSON WOODS,38.0439958,-78.4919097
105 ROBINSON WOODS,38.0441182,-78.4919097
107 ROBINSON WOODS,38.04424059999999,-78.4919097
109 ROBINSON WOODS,38.0444081,-78.4919541
111 ROBINSON WOODS,38.0445845,-78.4920873
113 ROBINSON WOODS,38.0446617,-78.4920429
115 ROBINSON WOODS,38.04481579999999,-78.492054
1208 PRESTON AVE,38.044507,-78.492888
1204 PRESTON AVE,38.0442364,-78.492785
1202 PRESTON AVE,38.0440973,-78.4927309
1605 CABELL AVE,38.0439341,-78.49273099999999
1607 CABELL AVE,38.043987,-78.492384
101 BARBOUR DR,38.043562,-78.492255
103 BARBOUR DR,38.04331800000001,-78.492171
105 BARBOUR DR,38.043086,-78.4920999
1124 PRESTON AVE,38.0430445,-78.49241310000001
1122 PRESTON AVE,38.042929,-78.492373
107 BARBOUR DR,38.0428666,-78.4920429
106 BARBOUR DR,38.04285,-78.491501
104 BARBOUR DR,38.043016,-78.491484
102 BARBOUR DR,38.043188,-78.491624
100 BARBOUR DR,38.043455,-78.491827
1614 CABELL AVE,38.0434711,-78.4915546
0 AMHERST CMN,38.0426671,-78.4871718
101 AMHERST CMN,38.0428719,-78.4904447
119 AMHERST CMN,38.0434812,-78.49124379999999
121 AMHERST CMN,38.04359669999999,-78.49127709999999
103 AMHERST CMN,38.0428851,-78.49057789999999
105 AMHERST CMN,38.0428982,-78.4907111
107 AMHERST CMN,38.042875,-78.4908887
109 AMHERST CMN,38.0429584,-78.49101069999999
111 AMHERST CMN,38.0430237,-78.49115499999999
113 AMHERST CMN,38.0431461,-78.49115499999999
115 AMHERST CMN,38.0432685,-78.49115499999999
117 AMHERST CMN,38.0433588,-78.49124379999999
1114 PRESTON AVE,38.0425422,-78.4924434
1106 PRESTON AVE,38.0420065,-78.4909922
1108 PRESTON AVE,38.0445053,-78.49273099999999
1110 PRESTON AVE,38.0421835,-78.49065259999999
1112 PRESTON AVE,38.0448222,-78.492842
1118 PRESTON AVE,38.0425025,-78.4921342
1104 PRESTON AVE,38.0442605,-78.49273099999999
1100 PRESTON AVE,38.041957,-78.491992
1102 PRESTON AVE,38.0440973,-78.49273099999999
1001 PRESTON AVE,38.0409832,-78.49076099999999
1011 PRESTON AVE,38.0404404,-78.4923647
225 ROSSER AVE E,38.0402455,-78.4923536
227 ROSSER AVE E,38.040094,-78.492206
228 ROSSER AVE E,38.0401042,-78.4925756
229 ROSSER AVE E,38.0400766,-78.4927088
208 ROSSER AVE E,38.0400897,-78.492842
212 ROSSER AVE E,38.0401862,-78.4938186
214 ROSSER AVE E,38.0401161,-78.4931083
216 ROSSER AVE E,38.040289,-78.49322599999999
218 ROSSER AVE E,38.0401424,-78.49337469999999
1113 ROSSER AVE E,38.0401599,-78.4935522
1111 ROSSER AVE E,38.0401731,-78.49368539999999
0 ROSSER AVE E,38.0400367,-78.49397239999999
1201 ROSSER AVE E,38.0402533,-78.49408489999999
703 12TH ST NW,38.0403801,-78.4941293
705 12TH ST NW,38.0404981,-78.49408489999999
704 12TH ST NW,38.0403771,-78.49368539999999
706 12TH ST NW,38.0405038,-78.4937298
708 12TH ST NW,38.0406131,-78.49359659999999
712 12TH ST NW,38.04054600000001,-78.4933303
1015 PRESTON AVE,38.0407432,-78.49264219999999
839 MADISON AVE,38.041791,-78.4922011
1105 PRESTON AVE,38.0444617,-78.4928152
814-828 CABELL AVE,38.0424704,-78.4942907
704 MADISON AVE,38.040919,-78.495351
780 MADISON AVE,38.041481,-78.4943291
1111 PRESTON AVE,38.042597,-78.49288399999999
1123-29 PRESTON AVE,38.0431785,-78.4933101
1109 PRESTON AVE,38.0423368,-78.4926844
832 CABELL AVE,38.0434604,-78.4935689
1117 PRESTON AVE,38.042827,-78.492975
936 HEMLOCK LN,38.0440345,-78.4932304
932 HEMLOCK LN,38.0439726,-78.4934301
930 HEMLOCK LN,38.0438813,-78.493641
928 RUGBY RD,38.0446255,-78.494773
0 CABELL AVE,38.0427389,-78.49557949999999
931 HEMLOCK LN,38.04418440000001,-78.4938186
933 HEMLOCK LN,38.0442528,-78.49368539999999
935 HEMLOCK LN,38.0443533,-78.4934634
937 HEMLOCK LN,38.0444173,-78.49328589999999
936 RUGBY RD,38.0449012,-78.493641
