,SaleDate,ParcelNumber,SaleAmount,Latitude,Longitude,RecordID_Int,Unit,UseCode,Style,Grade,YearBuilt,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,NumberOfStories,SquareFootageFinishedLiving,Address,FullAddress,Neighborhood,$/SqFt
0,2003-01-31,010006000,545000,38.05076529999999,-78.4980801,3,,Single Family,2 Story,A,1940.0,6,1,4,0,2.00,3368.0,2028 BARRACKS RD,2028 BARRACKS RD,Venable,161.81710213776722
1,2018-10-31,010010000,575000,38.048508399999996,-78.49866829999998,7,,Single Family,1 Story,B -,1950.0,4,0,3,0,1.25,1441.0,1851 WESTVIEW RD,1851 WESTVIEW RD,Venable,399.02845246356696
2,2018-01-10,010011000,970000,38.0490375,-78.4983465,8,,Single Family,1.5 Story,B,1954.0,6,0,5,1,1.33,3392.0,1855 WESTVIEW RD,1855 WESTVIEW RD,Venable,285.9669811320755
3,2015-05-04,010012000,512000,38.04910770000001,-78.4990567,9,,Single Family,2 Story,B,1952.0,3,0,2,0,2.00,2235.0,1857 WESTVIEW RD,1857 WESTVIEW RD,Venable,229.082774049217
4,2007-06-26,010014000,975000,38.0493467,-78.4994118,10,,Single Family,1.5 Story,B,1941.0,4,2,4,0,1.50,2584.0,1885 WESTVIEW RD,1885 WESTVIEW RD,Venable,377.3219814241486
5,2002-07-03,010015000,480000,38.049645399999996,-78.499545,11,,Single Family,2 Story,B,1952.0,4,0,4,0,2.00,2913.0,1889 WESTVIEW RD,1889 WESTVIEW RD,Venable,164.77857878475797
6,2018-10-19,010017000,1030000,38.050092799999994,-78.4999445,13,,Single Family-1 Conversion,1.5 Story,B++,1958.0,5,0,4,0,1.50,2664.0,1893 WESTVIEW RD,1893 WESTVIEW RD,Venable,386.63663663663664
7,2017-06-08,010017000,636000,38.050092799999994,-78.4999445,13,,Single Family-1 Conversion,1.5 Story,B++,1958.0,5,0,4,0,1.50,2664.0,1893 WESTVIEW RD,1893 WESTVIEW RD,Venable,238.73873873873873
8,2005-11-10,010017100,654750,38.0504732,-78.4993333,14,,Single Family-2 Conversion,1.5 Story,B,1958.0,7,0,5,0,1.66,2991.0,1895 WESTVIEW RD,1895 WESTVIEW RD,Venable,218.90672016048146
9,2000-09-14,010017100,459500,38.0504732,-78.4993333,14,,Single Family-2 Conversion,1.5 Story,B,1958.0,7,0,5,0,1.66,2991.0,1895 WESTVIEW RD,1895 WESTVIEW RD,Venable,153.6275493146105
10,2002-05-23,010019000,85000,38.050086,-78.50027999999998,15,,Single Family,2 Story,A,2002.0,3,1,2,0,2.00,2080.0,1890 WESTVIEW RD,1890 WESTVIEW RD,Venable,40.86538461538461
11,2006-07-07,010019000,479500,38.050086,-78.50027999999998,15,,Single Family,2 Story,A,2002.0,3,1,2,0,2.00,2080.0,1890 WESTVIEW RD,1890 WESTVIEW RD,Venable,230.52884615384616
12,2001-11-01,010019000,70000,38.050086,-78.50027999999998,15,,Single Family,2 Story,A,2002.0,3,1,2,0,2.00,2080.0,1890 WESTVIEW RD,1890 WESTVIEW RD,Venable,33.65384615384615
