neighborhood,avg_sale_amount,avg_pct_change
Venable,457080.7605042020,0.10743838296270800
Barracks / Rugby,441144.540062435,0.08647858534918280
Rose Hill,127370.53731343300,0.23272986387513600
10th & Page,264761.91039426500,0.5303026144729110
Lewis Mountain,538367.0425531920,0.12979315322390000
Jefferson Park Avenue,325610.2950819670,0.12880293592501200
Fry's Spring,266204.5253456220,0.06118269958414960
Johnson Village,299688.60217983700,0.06699848974141050
Fifeville,191641.21932515300,0.07836053046162240
Ridge Street,311907.2237442920,0.17212739103889600
Starr Hill,169436.65384615400,0.9415703900023550
North Downtown,471246.415274463,0.08855713636915760
The Meadows,237810.22222222200,0.066328670142181
Greenbrier,322802.3930635840,0.05036434970140380
Locust Grove,352658.425814234,0.21115763291913000
Martha Jefferson,369584.25186567200,0.11785213618164700
Woolen Mills,218195.0687960690,0.09879904268885910
Belmont,213990.9256198350,0.07570874391374950
Barracks Road,,
