,SaleDate,ParcelNumber,SaleAmount,Address,Latitude,Longitude,Neighborhood
0,2003-01-31,010006000,545000,2028 BARRACKS RD,38.05076529999999,-78.4980801,Venable
1,2018-10-31,010010000,575000,1851 WESTVIEW RD,38.048508399999996,-78.49866829999998,Venable
2,2018-01-10,010011000,970000,1855 WESTVIEW RD,38.0490375,-78.4983465,Venable
3,2015-05-04,010012000,512000,1857 WESTVIEW RD,38.04910770000001,-78.4990567,Venable
4,2007-06-26,010014000,975000,1885 WESTVIEW RD,38.0493467,-78.4994118,Venable
5,2002-07-03,010015000,480000,1889 WESTVIEW RD,38.049645399999996,-78.499545,Venable
6,2002-05-23,010019000,85000,1890 WESTVIEW RD,38.050086,-78.50027999999998,Venable
7,2006-07-07,010019000,479500,1890 WESTVIEW RD,38.050086,-78.50027999999998,Venable
8,2001-11-01,010019000,70000,1890 WESTVIEW RD,38.050086,-78.50027999999998,Venable
9,2003-03-03,010019000,360000,1890 WESTVIEW RD,38.050086,-78.50027999999998,Venable
10,2008-08-07,010019000,549000,1890 WESTVIEW RD,38.050086,-78.50027999999998,Venable
11,2010-08-04,010020000,962500,1888 WESTVIEW RD,38.04962800000001,-78.500349,Venable
12,2001-01-24,010020000,275000,1888 WESTVIEW RD,38.04962800000001,-78.500349,Venable
13,2019-09-04,010022000,1300000,1882 WESTVIEW RD,38.0491458,-78.4998557,Venable
14,2004-03-29,010023000,525000,1880 WESTVIEW RD,38.0489287,-78.49972249999998,Venable
15,2005-10-08,010024000,580000,1878 WESTVIEW RD,38.0487072,-78.499545,Venable
16,2002-06-12,010024A00,125000,1876 WESTVIEW RD,38.04849,-78.4994118,Venable
17,2014-06-30,010024A00,940000,1876 WESTVIEW RD,38.04849,-78.4994118,Venable
18,2007-08-29,010024A00,895000,1876 WESTVIEW RD,38.04849,-78.4994118,Venable
19,2007-06-19,010026000,889000,1852 WESTVIEW RD,38.048265,-78.499163,Venable
20,2007-06-19,010026000,889000,1852 WESTVIEW RD,38.048265,-78.499163,Venable
21,2008-08-04,010027000,483000,1863 FIELD RD,38.0480588,-78.49958939999998,Venable
22,2017-12-08,010027000,695000,1863 FIELD RD,38.0480588,-78.49958939999998,Venable
23,2017-12-08,010027000,695000,1863 FIELD RD,38.0480588,-78.49958939999998,Venable
24,2012-10-10,010028000,469000,1865 FIELD RD,38.0482395,-78.49976690000003,Venable
25,2002-03-01,010030000,275000,1869 FIELD RD,38.0487321,-78.50021079999998,Venable
26,2013-06-07,010030100,473000,1871 FIELD RD,38.0489128,-78.50038839999998,Venable
27,2003-06-06,010031000,425000,1873 FIELD RD,38.04914309999999,-78.5006547,Venable
28,2008-12-15,010031000,545000,1873 FIELD RD,38.04914309999999,-78.5006547,Venable
29,2019-02-15,010034000,470000,1882 FIELD RD,38.0490777,-78.5012318,Venable
30,2018-11-15,010034000,430000,1882 FIELD RD,38.0490777,-78.5012318,Venable
31,2010-11-01,010036000,389000,1872 FIELD RD,38.0486347,-78.50087669999998,Venable
32,2014-03-21,010036000,695940,1872 FIELD RD,38.0486347,-78.50087669999998,Venable
33,2001-07-02,010037000,345000,1870 FIELD RD,38.0483724,-78.50069909999998,Venable
34,2016-05-05,010037000,740000,1870 FIELD RD,38.0483724,-78.50069909999998,Venable
35,2018-04-09,010038000,685000,1868 FIELD RD,38.048150899999996,-78.50052149999998,Venable
36,2019-03-29,010038000,1375000,1868 FIELD RD,38.048150899999996,-78.50052149999998,Venable
37,2007-07-13,010039000,520000,1866 FIELD RD,38.0479206,-78.5002552,Venable
38,2007-05-25,010039000,520000,1866 FIELD RD,38.0479206,-78.5002552,Venable
39,2004-07-28,010040000,420000,1864 FIELD RD,38.0476991,-78.50007769999998,Venable
40,2004-03-03,010041000,530000,906 FENDALL TER,38.04779990000001,-78.50109859999998,Venable
41,2019-06-06,010041000,1350000,906 FENDALL TER,38.04779990000001,-78.50109859999998,Venable
42,2018-07-17,010043000,660000,1861 WINSTON RD,38.047481,-78.500629,Venable
43,2015-05-06,010043000,590000,1861 WINSTON RD,38.047481,-78.500629,Venable
44,2011-05-25,010043000,315000,1861 WINSTON RD,38.047481,-78.500629,Venable
45,2020-01-07,010043000,680000,1861 WINSTON RD,38.047481,-78.500629,Venable
46,2003-11-18,010044000,575000,1863 WINSTON RD,38.04736870000001,-78.50127619999998,Venable
47,2008-07-30,010045000,745000,1867 WINSTON RD,38.0475174,-78.5015425,Venable
48,2006-11-29,010045000,725000,1867 WINSTON RD,38.0475174,-78.5015425,Venable
49,2014-02-07,010046000,699000,901 FENDALL TER,38.0477739,-78.5020751,Venable
50,2016-08-25,010047000,579000,905 FENDALL TER,38.0481644,-78.50189759999998,Venable
51,2007-08-10,020003000,948000,1910 BARRACKS RD,38.0489946,-78.49626010000001,Venable
52,2007-08-10,020003000,948000,1910 BARRACKS RD,38.0489946,-78.49626010000001,Venable
53,2003-06-03,020003000,500000,1910 BARRACKS RD,38.0489946,-78.49626010000001,Venable
54,2003-06-03,020003000,500000,1910 BARRACKS RD,38.0489946,-78.49626010000001,Venable
55,2005-05-06,020004000,377500,120 BUCKINGHAM RD,38.0487374,-78.4959272,Venable
56,2004-02-11,020004000,275000,120 BUCKINGHAM RD,38.0487374,-78.4959272,Venable
57,2009-04-23,020006000,600000,108 BUCKINGHAM RD,38.047924200000004,-78.4951281,Venable
58,2003-11-18,020006000,310000,108 BUCKINGHAM RD,38.047924200000004,-78.4951281,Venable
59,2016-10-05,020006100,355000,110 BUCKINGHAM RD,38.047981799999995,-78.49550550000002,Venable
60,2007-04-17,020006100,362500,110 BUCKINGHAM RD,38.047981799999995,-78.49550550000002,Venable
61,2004-05-03,020006100,300000,110 BUCKINGHAM RD,38.047981799999995,-78.49550550000002,Venable
62,2016-12-05,020006200,391000,114 BUCKINGHAM RD,38.0480941,-78.49581620000002,Venable
63,2012-11-29,020006300,386375,118 BUCKINGHAM RD,38.048374,-78.4961713,Venable
64,2015-06-30,020006300,412500,118 BUCKINGHAM RD,38.048374,-78.4961713,Venable
65,2004-08-11,020009000,236000,1812 BARRACKS RD,38.0481358,-78.49417369999998,Venable
66,2010-06-03,020016100,350000,1107 RUGBY RD,38.047372100000004,-78.49346340000002,Venable
67,2016-06-30,020016100,478000,1107 RUGBY RD,38.047372100000004,-78.49346340000002,Venable
68,2015-01-28,020016200,415000,1109 RUGBY RD,38.0475471,-78.49336319999998,Venable
69,2013-10-16,020016200,83000,1109 RUGBY RD,38.0475471,-78.49336319999998,Venable
70,2001-08-31,020017000,339000,1105 RUGBY RD,38.04714050000001,-78.49359659999998,Venable
71,2020-05-13,020019000,1975000,1101 RUGBY RD,38.0468047,-78.4937076,Venable
72,2003-06-13,020019000,810000,1101 RUGBY RD,38.0468047,-78.4937076,Venable
73,2018-08-10,020019100,767500,947 ROSSER LN,38.0473682,-78.49466199999998,Venable
74,2011-12-01,020019100,640000,947 ROSSER LN,38.0473682,-78.49466199999998,Venable
75,2003-07-16,020020000,377000,945 ROSSER LN,38.04713220000001,-78.49475079999998,Venable
76,2001-03-06,020023000,768000,1801 WESTVIEW RD,38.046525700000004,-78.49583840000003,Venable
77,2002-03-01,020023100,740000,1829 WESTVIEW RD,38.0466599,-78.49637109999998,Venable
78,2002-06-10,020023A00,2967,921 ROSSER LN,38.0463092,-78.49550550000002,Venable
79,2013-02-12,020023A00,650000,921 ROSSER LN,38.0463092,-78.49550550000002,Venable
80,2016-10-07,020023A00,851000,921 ROSSER LN,38.0463092,-78.49550550000002,Venable
81,2017-02-23,020023A00,848000,921 ROSSER LN,38.0463092,-78.49550550000002,Venable
82,2010-09-02,020025000,1100000,1839 WESTVIEW RD,38.0476626,-78.49743649999998,Venable
83,2015-07-27,020025000,735000,1839 WESTVIEW RD,38.0476626,-78.49743649999998,Venable
84,2008-05-27,020026000,1000000,1861 WESTVIEW RD,38.0480679,-78.49823549999998,Venable
85,2002-07-23,020028000,385000,1844 WESTVIEW RD,38.047695000000004,-78.4985906,Venable
86,2010-12-29,020028000,675000,1844 WESTVIEW RD,38.047695000000004,-78.4985906,Venable
87,2002-03-04,020029000,425000,1834 WESTVIEW RD,38.0473693,-78.4983908,Venable
88,2015-06-12,020029000,776795,1834 WESTVIEW RD,38.0473693,-78.4983908,Venable
89,2002-05-28,020029000,456000,1834 WESTVIEW RD,38.0473693,-78.4983908,Venable
90,2015-06-12,020031000,155000,1859 FIELD RD,38.0474395,-78.49910109999998,Venable
91,2010-08-18,020038000,635000,1858 FIELD RD,38.0470258,-78.4994562,Venable
92,2019-12-18,020040000,308000,1847 WINSTON RD,38.0465261,-78.49976690000003,Venable
93,2016-05-31,020041000,650000,1843 WINSTON RD,38.04637750000001,-78.49950059999998,Venable
94,2018-04-02,020042000,593800,1856 FIELD RD,38.0469091,-78.49910109999998,Venable
95,2010-07-09,020042000,550000,1856 FIELD RD,38.0469091,-78.49910109999998,Venable
96,2020-04-24,020042000,814000,1856 FIELD RD,38.0469091,-78.49910109999998,Venable
97,2008-06-16,020044000,425000,919 OLD FARM RD,38.0468667,-78.49825770000002,Venable
98,2006-05-01,020044000,408400,919 OLD FARM RD,38.0468667,-78.49825770000002,Venable
99,2002-08-09,020046000,402000,911 OLD FARM RD,38.04649819999999,-78.49865720000003,Venable
100,2000-12-11,020046000,264000,911 OLD FARM RD,38.04649819999999,-78.49865720000003,Venable
101,2000-08-15,020047000,349900,907 OLD FARM RD,38.046270899999996,-78.4988347,Venable
102,2017-07-11,020050000,925000,910 OLD FARM RD,38.046101,-78.49814669999998,Venable
103,2015-04-21,020051000,515000,912 OLD FARM RD,38.04630119999999,-78.49790259999997,Venable
104,2011-01-18,020051000,418000,912 OLD FARM RD,38.04630119999999,-78.49790259999997,Venable
105,2004-05-20,020052000,450000,916 OLD FARM RD,38.0464739,-78.4977916,Venable
106,2004-05-20,020052000,450000,916 OLD FARM RD,38.0464739,-78.4977916,Venable
107,2012-11-21,020053000,200000,1832 WESTVIEW RD,38.04671930000001,-78.4975918,Venable
108,2005-01-18,020054100,420000,1821 WINSTON RD,38.0454489,-78.4979469,Venable
109,2003-10-31,020054200,525000,905 COTTAGE LN,38.0456762,-78.4977694,Venable
110,2010-07-13,020054200,650000,905 COTTAGE LN,38.0456762,-78.4977694,Venable
111,2013-05-22,020054300,635000,907 COTTAGE LN,38.0458626,-78.4975918,Venable
112,2004-08-23,020054500,20963,911 COTTAGE LN,38.046253,-78.49741429999997,Venable
113,2013-05-24,020054500,960000,911 COTTAGE LN,38.046253,-78.49741429999997,Venable
114,2009-05-14,020054500,210000,911 COTTAGE LN,38.046253,-78.49741429999997,Venable
115,2014-10-22,020054600,655000,915 COTTAGE LN,38.04648020000001,-78.4972367,Venable
116,2014-07-16,020055101,530000,1828 WESTVIEW RD,38.0462732,-78.4967928,Venable
117,2011-06-27,020055200,500000,1815 WINSTON RD,38.0452419,-78.49750300000002,Venable
118,2013-09-06,020055200,750000,1815 WINSTON RD,38.0452419,-78.49750300000002,Venable
119,2012-04-30,020055300,450000,901 ROSSER LN,38.0450116,-78.4972367,Venable
120,2019-02-22,020055400,609300,905 ROSSER LN,38.04523010000001,-78.49697040000002,Venable
121,2019-02-22,020055400,609300,905 ROSSER LN,38.04523010000001,-78.49697040000002,Venable
122,2011-04-22,020055500,560000,907 ROSSER LN,38.0454034,-78.49665959999999,Venable
123,2017-08-04,020055500,631250,907 ROSSER LN,38.0454034,-78.49665959999999,Venable
124,2003-06-16,020055600,405000,909 ROSSER LN,38.045581,-78.4963933,Venable
125,2000-08-02,020055600,265400,909 ROSSER LN,38.045581,-78.4963933,Venable
126,2011-07-28,020055800,942500,1822 WESTVIEW RD,38.04591680000001,-78.49628229999998,Venable
127,2013-09-09,020057000,720000,902 ROSSER LN,38.04484229999999,-78.49634890000002,Venable
128,2007-06-01,020057000,395000,902 ROSSER LN,38.04484229999999,-78.49634890000002,Venable
129,2018-06-08,020057000,785000,902 ROSSER LN,38.04484229999999,-78.49634890000002,Venable
130,2002-07-16,020057000,429000,902 ROSSER LN,38.04484229999999,-78.49634890000002,Venable
131,2008-02-01,020058000,191350,908 ROSSER LN,38.0451555,-78.49621570000002,Venable
132,2015-03-24,020058000,375000,908 ROSSER LN,38.0451555,-78.49621570000002,Venable
133,2007-02-27,020062000,515000,924 ROSSER LN,38.04589319999999,-78.49521690000002,Venable
134,2014-11-12,020062000,549000,924 ROSSER LN,38.04589319999999,-78.49521690000002,Venable
135,2001-08-17,020063000,110000,928 ROSSER LN,38.04609779999999,-78.49501719999998,Venable
136,2012-08-23,020064000,297500,932 ROSSER LN,38.0463207,-78.4947952,Venable
137,2012-02-17,020065000,367500,938 ROSSER LN,38.0465027,-78.49457319999998,Venable
138,2002-11-15,020066000,309000,942 ROSSER LN,38.04669420000001,-78.49424029999999,Venable
139,2015-06-09,020066000,495000,942 ROSSER LN,38.04669420000001,-78.49424029999999,Venable
140,2017-10-20,020068000,2900000,1007 RUGBY RD,38.046152,-78.4937076,Venable
141,2020-04-29,020072000,990000,921 RUGBY RD,38.0451494,-78.49532789999998,Venable
142,2016-02-02,020072000,695600,921 RUGBY RD,38.0451494,-78.49532789999998,Venable
143,2016-02-02,020072000,695600,921 RUGBY RD,38.0451494,-78.49532789999998,Venable
144,2005-08-11,020074000,790000,917 RUGBY RD,38.0449485,-78.4957718,Venable
145,2003-06-03,020075000,475000,915 RUGBY RD,38.044847999999995,-78.4959938,Venable
146,2010-09-15,030001000,465000,1106 RUGBY RD,38.04695299999999,-78.49273099999998,Barracks / Rugby
147,2012-06-22,030001000,480000,1106 RUGBY RD,38.04695299999999,-78.49273099999998,Barracks / Rugby
148,2002-12-10,030004000,213000,1711 RUGBY AVE,38.04660670000001,-78.49190970000002,Barracks / Rugby
149,2008-07-03,030004000,435500,1711 RUGBY AVE,38.04660670000001,-78.49190970000002,Barracks / Rugby
150,2019-03-05,030004000,735000,1711 RUGBY AVE,38.04660670000001,-78.49190970000002,Barracks / Rugby
151,2016-11-02,030009000,260000,1641 RUGBY AVE,38.046376,-78.49040029999998,Barracks / Rugby
