,Year,Cville SaleAmount,National Median SaleAmount,National Average SaleAmount
0,2000,143526.8954703833,169000.0,207000.0
1,2001,156053.04357298475,175200.0,213200.0
2,2002,170372.40630797774,187600.0,228700.0
3,2003,211865.64033613444,195000.0,246300.0
4,2004,254663.97360703812,221000.0,274500.0
5,2005,280181.6692307692,240900.0,297000.0
6,2006,378329.8799342105,246500.0,305900.0
7,2007,385261.5905096661,247900.0,313600.0
8,2008,318409.14016736404,232100.0,292600.0
9,2009,286371.1647727273,216700.0,270900.0
10,2010,305097.24781341106,221800.0,272900.0
11,2011,295198.22571428574,227200.0,267900.0
12,2012,301481.0410022779,245200.0,292200.0
13,2013,283744.2581344902,268900.0,324500.0
14,2014,308968.0205338809,288500.0,347700.0
15,2015,319110.8820116054,294200.0,352700.0
16,2016,435905.0,307800.0,360900.0
17,2017,380949.8074766355,323100.0,384900.0
18,2018,434217.4060822898,326400.0,385000.0
19,2019,421027.67494824016,321500.0,383900.0
